xl;xu;x;relative_error;tol;iter;function;method
17.2203906250;17.2216308594;17.2216308594;0.0072016082;0.0001000000;10;(x/1) - tan(x);bissection
17.2203906250;17.2210107422;17.2210107422;0.0036009337;0.0001000000;11;(x/1) - tan(x);bissection
17.2207006836;17.2210107422;17.2207006836;0.0018004993;0.0001000000;12;(x/1) - tan(x);bissection
4.4050584697;4.7000000000;4.4050584697;0.1148332025;0.0001000000;1;(x/1) - tan(x);false_position
4.4098464474;4.7000000000;4.4098464474;0.1085747026;0.0001000000;2;(x/1) - tan(x);false_position
4.4143780348;4.7000000000;4.4143780348;0.1026551744;0.0001000000;3;(x/1) - tan(x);false_position
4.4186666369;4.7000000000;4.4186666369;0.0970564736;0.0001000000;4;(x/1) - tan(x);false_position
4.4227249915;4.7000000000;4.4227249915;0.0917614062;0.0001000000;5;(x/1) - tan(x);false_position
4.4265651997;4.7000000000;4.4265651997;0.0867536802;0.0001000000;6;(x/1) - tan(x);false_position
4.4301987540;4.7000000000;4.4301987540;0.0820178604;0.0001000000;7;(x/1) - tan(x);false_position
4.4336365658;4.7000000000;4.4336365658;0.0775393250;0.0001000000;8;(x/1) - tan(x);false_position
4.4368889929;4.7000000000;4.4368889929;0.0733042239;0.0001000000;9;(x/1) - tan(x);false_position
4.4399658644;4.7000000000;4.4399658644;0.0692994401;0.0001000000;10;(x/1) - tan(x);false_position
4.4428765061;4.7000000000;4.4428765061;0.0655125514;0.0001000000;11;(x/1) - tan(x);false_position
4.4456297644;4.7000000000;4.4456297644;0.0619317952;0.0001000000;12;(x/1) - tan(x);false_position
7.0000000000;7.5773700811;7.5773700811;2.2782300061;0.0001000000;1;(x/1) - tan(x);false_position
7.0000000000;8.7063571249;8.7063571249;12.9673872500;0.0001000000;2;(x/1) - tan(x);false_position
3.9706700005;8.7063571249;3.9706700005;119.2667011804;0.0001000000;3;(x/1) - tan(x);false_position
1.9359711330;8.7063571249;1.9359711330;105.0996490982;0.0001000000;4;(x/1) - tan(x);false_position
-4.1915728754;8.7063571249;-4.1915728754;146.1872235220;0.0001000000;5;(x/1) - tan(x);false_position
-1.5663706565;8.7063571249;-1.5663706565;167.5977654372;0.0001000000;6;(x/1) - tan(x);false_position
-1.5663706565;9.1645345371;9.1645345371;117.0916553395;0.0001000000;7;(x/1) - tan(x);false_position
-1.5663706565;9.6353345539;9.6353345539;4.8861823547;0.0001000000;8;(x/1) - tan(x);false_position
-1.5663706565;10.1262893139;10.1262893139;4.8483185184;0.0001000000;9;(x/1) - tan(x);false_position
-1.5663706565;10.6308071529;10.6308071529;4.7458093419;0.0001000000;10;(x/1) - tan(x);false_position
-1.5663706565;11.0824495652;11.0824495652;4.0752940913;0.0001000000;11;(x/1) - tan(x);false_position
-1.5663706565;12.4966181856;12.4966181856;11.3164105632;0.0001000000;12;(x/1) - tan(x);false_position
10.0520836421;10.9900000000;10.0520836421;0.5181377711;0.0001000000;1;(x/1) - tan(x);false_position
10.1013044298;10.9900000000;10.1013044298;0.4872715998;0.0001000000;2;(x/1) - tan(x);false_position
10.1478060949;10.9900000000;10.1478060949;0.4582435325;0.0001000000;3;(x/1) - tan(x);false_position
10.1917262573;10.9900000000;10.1917262573;0.4309393838;0.0001000000;4;(x/1) - tan(x);false_position
10.2331966653;10.9900000000;10.2331966653;0.4052536992;0.0001000000;5;(x/1) - tan(x);false_position
10.2723434014;10.9900000000;10.2723434014;0.3810886629;0.0001000000;6;(x/1) - tan(x);false_position
10.3092870642;10.9900000000;10.3092870642;0.3583532261;0.0001000000;7;(x/1) - tan(x);false_position
10.3441429366;10.9900000000;10.3441429366;0.3369624005;0.0001000000;8;(x/1) - tan(x);false_position
10.3770211456;10.9900000000;10.3770211456;0.3168366771;0.0001000000;9;(x/1) - tan(x);false_position
10.4080268178;10.9900000000;10.4080268178;0.2979015404;0.0001000000;10;(x/1) - tan(x);false_position
10.4372602327;10.9900000000;10.4372602327;0.2800870565;0.0001000000;11;(x/1) - tan(x);false_position
10.4648169757;10.9900000000;10.4648169757;0.2633275198;0.0001000000;12;(x/1) - tan(x);false_position
13.1027068947;14.1300000000;13.1027068947;0.7838601255;0.0001000000;1;(x/1) - tan(x);false_position
13.1958840704;14.1300000000;13.1958840704;0.7061078680;0.0001000000;2;(x/1) - tan(x);false_position
13.2803589697;14.1300000000;13.2803589697;0.6360889752;0.0001000000;3;(x/1) - tan(x);false_position
13.3568937374;14.1300000000;13.3568937374;0.5729982527;0.0001000000;4;(x/1) - tan(x);false_position
13.4261907280;14.1300000000;13.4261907280;0.5161329226;0.0001000000;5;(x/1) - tan(x);false_position
13.4888968347;14.1300000000;13.4888968347;0.4648720161;0.0001000000;6;(x/1) - tan(x);false_position
13.5456071875;14.1300000000;13.5456071875;0.4186623167;0.0001000000;7;(x/1) - tan(x);false_position
13.5968685059;14.1300000000;13.5968685059;0.3770082674;0.0001000000;8;(x/1) - tan(x);false_position
13.6431822484;14.1300000000;13.6431822484;0.3394643685;0.0001000000;9;(x/1) - tan(x);false_position
13.6850076277;14.1300000000;13.6850076277;0.3056291999;0.0001000000;10;(x/1) - tan(x);false_position
13.7227645169;14.1300000000;13.7227645169;0.2751405461;0.0001000000;11;(x/1) - tan(x);false_position
13.7568362517;14.1300000000;13.7568362517;0.2476712968;0.0001000000;12;(x/1) - tan(x);false_position
16.1770914985;17.2700000000;16.1770914985;1.0947054263;0.0001000000;1;(x/1) - tan(x);false_position
16.3292454445;17.2700000000;16.3292454445;0.9317879783;0.0001000000;2;(x/1) - tan(x);false_position
16.4598076148;17.2700000000;16.4598076148;0.7932180827;0.0001000000;3;(x/1) - tan(x);false_position
16.5716995908;17.2700000000;16.5716995908;0.6751991569;0.0001000000;4;(x/1) - tan(x);false_position
16.6674770877;17.2700000000;16.6674770877;0.5746370395;0.0001000000;5;(x/1) - tan(x);false_position
16.7493727029;17.2700000000;16.7493727029;0.4889473578;0.0001000000;6;(x/1) - tan(x);false_position
16.8193317121;17.2700000000;16.8193317121;0.4159440480;0.0001000000;7;(x/1) - tan(x);false_position
16.8790440604;17.2700000000;16.8790440604;0.3537661732;0.0001000000;8;(x/1) - tan(x);false_position
16.9299736247;17.2700000000;16.9299736247;0.3008248298;0.0001000000;9;(x/1) - tan(x);false_position
16.9733850574;17.2700000000;16.9733850574;0.2557617856;0.0001000000;10;(x/1) - tan(x);false_position
17.0103682764;17.2700000000;17.0103682764;0.2174157455;0.0001000000;11;(x/1) - tan(x);false_position
17.0418606255;17.2700000000;17.0418606255;0.1847940772;0.0001000000;12;(x/1) - tan(x);false_position
4.4000000000;4.4000000000;3.0963237806;42.1040017681;0.0001000000;1;(x/1) - tan(x);Fixed Point
3.0963237806;3.0963237806;-0.0452998210;6935.1788369870;0.0001000000;2;(x/1) - tan(x);Fixed Point
-0.0452998210;-0.0452998210;-0.0453308327;0.0684118192;0.0001000000;3;(x/1) - tan(x);Fixed Point
-0.0453308327;-0.0453308327;-0.0453619081;0.0685055317;0.0001000000;4;(x/1) - tan(x);Fixed Point
-0.0453619081;-0.0453619081;-0.0453930475;0.0685995013;0.0001000000;5;(x/1) - tan(x);Fixed Point
-0.0453930475;-0.0453930475;-0.0454242511;0.0686937290;0.0001000000;6;(x/1) - tan(x);Fixed Point
-0.0454242511;-0.0454242511;-0.0454555192;0.0687882159;0.0001000000;7;(x/1) - tan(x);Fixed Point
-0.0454555192;-0.0454555192;-0.0454868518;0.0688829630;0.0001000000;8;(x/1) - tan(x);Fixed Point
-0.0454868518;-0.0454868518;-0.0455182494;0.0689779715;0.0001000000;9;(x/1) - tan(x);Fixed Point
-0.0455182494;-0.0455182494;-0.0455497121;0.0690732425;0.0001000000;10;(x/1) - tan(x);Fixed Point
-0.0455497121;-0.0455497121;-0.0455812401;0.0691687769;0.0001000000;11;(x/1) - tan(x);Fixed Point
-0.0455812401;-0.0455812401;-0.0456128336;0.0692645759;0.0001000000;12;(x/1) - tan(x);Fixed Point
7.0000000000;7.0000000000;0.8714479827;703.2607956836;0.0001000000;1;(x/1) - tan(x);Fixed Point
0.8714479827;0.8714479827;1.1888132412;26.6959727126;0.0001000000;2;(x/1) - tan(x);Fixed Point
1.1888132412;1.1888132412;2.4893332350;52.2437082956;0.0001000000;3;(x/1) - tan(x);Fixed Point
2.4893332350;2.4893332350;-0.7637757002;425.9246444182;0.0001000000;4;(x/1) - tan(x);Fixed Point
-0.7637757002;-0.7637757002;-0.9576638866;20.2459536313;0.0001000000;5;(x/1) - tan(x);Fixed Point
-0.9576638866;-0.9576638866;-1.4212788343;32.6195632044;0.0001000000;6;(x/1) - tan(x);Fixed Point
-1.4212788343;-1.4212788343;-6.6382670467;78.5896104470;0.0001000000;7;(x/1) - tan(x);Fixed Point
-6.6382670467;-6.6382670467;-0.3707981070;1690.2645458072;0.0001000000;8;(x/1) - tan(x);Fixed Point
-0.3707981070;-0.3707981070;-0.3887816187;4.6256074856;0.0001000000;9;(x/1) - tan(x);Fixed Point
-0.3887816187;-0.3887816187;-0.4096313809;5.0898840193;0.0001000000;10;(x/1) - tan(x);Fixed Point
-0.4096313809;-0.4096313809;-0.4341930219;5.6568484088;0.0001000000;11;(x/1) - tan(x);Fixed Point
-0.4341930219;-0.4341930219;-0.4637057852;6.3645449699;0.0001000000;12;(x/1) - tan(x);Fixed Point
10.0000000000;10.0000000000;0.6483608275;1442.3510453569;0.0001000000;1;(x/1) - tan(x);Fixed Point
0.6483608275;0.6483608275;0.7576211479;14.4214982294;0.0001000000;2;(x/1) - tan(x);Fixed Point
0.7576211479;0.7576211479;0.9459338592;19.9075981316;0.0001000000;3;(x/1) - tan(x);Fixed Point
0.9459338592;0.9459338592;1.3864330955;31.7721235721;0.0001000000;4;(x/1) - tan(x);Fixed Point
1.3864330955;1.3864330955;5.3624809164;74.1456777725;0.0001000000;5;(x/1) - tan(x);Fixed Point
5.3624809164;5.3624809164;-1.3151847032;507.7359555222;0.0001000000;6;(x/1) - tan(x);Fixed Point
-1.3151847032;-1.3151847032;-3.8266078256;65.6305332787;0.0001000000;7;(x/1) - tan(x);Fixed Point
-3.8266078256;-3.8266078256;-0.8169899819;368.3787941713;0.0001000000;8;(x/1) - tan(x);Fixed Point
-0.8169899819;-0.8169899819;-1.0652672631;23.3065719591;0.0001000000;9;(x/1) - tan(x);Fixed Point
-1.0652672631;-1.0652672631;-1.8066732861;41.0370833882;0.0001000000;10;(x/1) - tan(x);Fixed Point
-1.8066732861;-1.8066732861;4.1605795914;143.4235963138;0.0001000000;11;(x/1) - tan(x);Fixed Point
4.1605795914;4.1605795914;1.6244380048;156.1242459822;0.0001000000;12;(x/1) - tan(x);Fixed Point
13.0000000000;13.0000000000;0.4630211329;2707.6472271479;0.0001000000;1;(x/1) - tan(x);Fixed Point
0.4630211329;0.4630211329;0.4992171500;7.2505556142;0.0001000000;2;(x/1) - tan(x);Fixed Point
0.4992171500;0.4992171500;0.5452864354;8.4486395440;0.0001000000;3;(x/1) - tan(x);Fixed Point
0.5452864354;0.5452864354;0.6066384697;10.1134427305;0.0001000000;4;(x/1) - tan(x);Fixed Point
0.6066384697;0.6066384697;0.6939269754;12.5789180819;0.0001000000;5;(x/1) - tan(x);Fixed Point
0.6939269754;0.6939269754;0.8319595578;16.5912610818;0.0001000000;6;(x/1) - tan(x);Fixed Point
0.8319595578;0.8319595578;1.0977445574;24.2119168643;0.0001000000;7;(x/1) - tan(x);Fixed Point
1.0977445574;1.0977445574;1.9538459182;43.8162166635;0.0001000000;8;(x/1) - tan(x);Fixed Point
1.9538459182;1.9538459182;-2.4816781481;178.7308346036;0.0001000000;9;(x/1) - tan(x);Fixed Point
-2.4816781481;-2.4816781481;0.7759679308;419.8171019297;0.0001000000;10;(x/1) - tan(x);Fixed Point
0.7759679308;0.7759679308;0.9813151830;20.9257184456;0.0001000000;11;(x/1) - tan(x);Fixed Point
0.9813151830;0.9813151830;1.4952053744;34.3692044020;0.0001000000;12;(x/1) - tan(x);Fixed Point
16.0000000000;16.0000000000;0.3006322420;5222.1171130167;0.0001000000;1;(x/1) - tan(x);Fixed Point
0.3006322420;0.3006322420;0.3100291258;3.0309680554;0.0001000000;2;(x/1) - tan(x);Fixed Point
0.3100291258;0.3100291258;0.3203596198;3.2246554588;0.0001000000;3;(x/1) - tan(x);Fixed Point
0.3203596198;0.3203596198;0.3317885656;3.4446473009;0.0001000000;4;(x/1) - tan(x);Fixed Point
0.3317885656;0.3317885656;0.3445245007;3.6966703564;0.0001000000;5;(x/1) - tan(x);Fixed Point
0.3445245007;0.3445245007;0.3588357239;3.9882381453;0.0001000000;6;(x/1) - tan(x);Fixed Point
0.3588357239;0.3588357239;0.3750742036;4.3294045694;0.0001000000;7;(x/1) - tan(x);Fixed Point
0.3750742036;0.3750742036;0.3937122793;4.7339330420;0.0001000000;8;(x/1) - tan(x);Fixed Point
0.3937122793;0.3937122793;0.4154010960;5.2211746438;0.0001000000;9;(x/1) - tan(x);Fixed Point
0.4154010960;0.4154010960;0.4410677631;5.8192117485;0.0001000000;10;(x/1) - tan(x);Fixed Point
0.4410677631;0.4410677631;0.4720855999;6.5703840055;0.0001000000;11;(x/1) - tan(x);Fixed Point
0.4720855999;0.4720855999;0.5105924294;7.5415982108;0.0001000000;12;(x/1) - tan(x);Fixed Point
4.4000000000;4.4000000000;4.5359806169;2.9978218238;0.0001000000;1;(x/1) - tan(x);Newton Raphson
4.5359806169;4.5359806169;4.5018596296;0.7579309448;0.0001000000;2;(x/1) - tan(x);Newton Raphson
4.5018596296;4.5018596296;4.4937453763;0.1805677138;0.0001000000;3;(x/1) - tan(x);Newton Raphson
4.4937453763;4.4937453763;4.4934099900;0.0074639602;0.0001000000;4;(x/1) - tan(x);Newton Raphson
4.4934099900;4.4934099900;4.4934094579;0.0000118418;0.0001000000;5;(x/1) - tan(x);Newton Raphson
7.0000000000;7.0000000000;15.0700260902;53.5501799526;0.0001000000;1;(x/1) - tan(x);Newton Raphson
15.0700260902;15.0700260902;43.8394910560;65.6245414187;0.0001000000;2;(x/1) - tan(x);Newton Raphson
43.8394910560;43.8394910560;2171.2989101648;97.9809555077;0.0001000000;3;(x/1) - tan(x);Newton Raphson
2171.2989101648;2171.2989101648;11086.9016006256;80.4156383056;0.0001000000;4;(x/1) - tan(x);Newton Raphson
11086.9016006256;11086.9016006256;230468.6580021630;95.1894102666;0.0001000000;5;(x/1) - tan(x);Newton Raphson
230468.6580021630;230468.6580021630;235722.9752596348;2.2290221187;0.0001000000;6;(x/1) - tan(x);Newton Raphson
235722.9752596348;235722.9752596348;11089527.6730536986;97.8743641550;0.0001000000;7;(x/1) - tan(x);Newton Raphson
11089527.6730536986;11089527.6730536986;17638070.3130983785;37.1273190536;0.0001000000;8;(x/1) - tan(x);Newton Raphson
17638070.3130983785;17638070.3130983785;81652484.9446532130;78.3986117201;0.0001000000;9;(x/1) - tan(x);Newton Raphson
81652484.9446532130;81652484.9446532130;259991039.0205848515;68.5941156848;0.0001000000;10;(x/1) - tan(x);Newton Raphson
259991039.0205848515;259991039.0205848515;17015182059.1205940247;98.4720055412;0.0001000000;11;(x/1) - tan(x);Newton Raphson
17015182059.1205940247;17015182059.1205940247;20492946438.9863586426;16.9705434512;0.0001000000;12;(x/1) - tan(x);Newton Raphson
10.0000000000;10.0000000000;32.2461164258;68.9885136307;0.0001000000;1;(x/1) - tan(x);Newton Raphson
32.2461164258;32.2461164258;58.2821106541;44.6723598993;0.0001000000;2;(x/1) - tan(x);Newton Raphson
58.2821106541;58.2821106541;60.0156003477;2.8883984891;0.0001000000;3;(x/1) - tan(x);Newton Raphson
60.0156003477;60.0156003477;584.4797306992;89.7317909937;0.0001000000;4;(x/1) - tan(x);Newton Raphson
584.4797306992;584.4797306992;28573.3261677295;97.9544567991;0.0001000000;5;(x/1) - tan(x);Newton Raphson
28573.3261677295;28573.3261677295;107739.4589774672;73.4792373761;0.0001000000;6;(x/1) - tan(x);Newton Raphson
107739.4589774672;107739.4589774672;109047.0435139580;1.1991013184;0.0001000000;7;(x/1) - tan(x);Newton Raphson
109047.0435139580;109047.0435139580;220884.0566449171;50.6315461739;0.0001000000;8;(x/1) - tan(x);Newton Raphson
220884.0566449171;220884.0566449171;235042.7632145040;6.0238853458;0.0001000000;9;(x/1) - tan(x);Newton Raphson
235042.7632145040;235042.7632145040;245056.7202593952;4.0863833623;0.0001000000;10;(x/1) - tan(x);Newton Raphson
245056.7202593952;245056.7202593952;45952570.1449917704;99.4667181411;0.0001000000;11;(x/1) - tan(x);Newton Raphson
45952570.1449917704;45952570.1449917704;54162616.4184061885;15.1581419369;0.0001000000;12;(x/1) - tan(x);Newton Raphson
13.0000000000;13.0000000000;71.4778325338;81.8125430792;0.0001000000;1;(x/1) - tan(x);Newton Raphson
71.4778325338;71.4778325338;145.8810541185;51.0026624322;0.0001000000;2;(x/1) - tan(x);Newton Raphson
145.8810541185;145.8810541185;151.8561905348;3.9347335102;0.0001000000;3;(x/1) - tan(x);Newton Raphson
151.8561905348;151.8561905348;199.0438679263;23.7071746460;0.0001000000;4;(x/1) - tan(x);Newton Raphson
199.0438679263;199.0438679263;244.3641038852;18.5461920300;0.0001000000;5;(x/1) - tan(x);Newton Raphson
244.3641038852;244.3641038852;619.0958733925;60.5288753507;0.0001000000;6;(x/1) - tan(x);Newton Raphson
619.0958733925;619.0958733925;15357.5075329804;95.9687737606;0.0001000000;7;(x/1) - tan(x);Newton Raphson
15357.5075329804;15357.5075329804;15799.9024579131;2.7999851652;0.0001000000;8;(x/1) - tan(x);Newton Raphson
15799.9024579131;15799.9024579131;28855.6232401519;45.2449793705;0.0001000000;9;(x/1) - tan(x);Newton Raphson
28855.6232401519;28855.6232401519;3226063.6788830035;99.1055470036;0.0001000000;10;(x/1) - tan(x);Newton Raphson
3226063.6788830035;3226063.6788830035;232861497.2672140598;98.6145997871;0.0001000000;11;(x/1) - tan(x);Newton Raphson
232861497.2672140598;232861497.2672140598;342924900.4440695047;32.0954830152;0.0001000000;12;(x/1) - tan(x);Newton Raphson
16.0000000000;16.0000000000;189.7044928335;91.5658296960;0.0001000000;1;(x/1) - tan(x);Newton Raphson
189.7044928335;189.7044928335;216.5079008331;12.3798752362;0.0001000000;2;(x/1) - tan(x);Newton Raphson
216.5079008331;216.5079008331;3231.1551967774;93.2993654700;0.0001000000;3;(x/1) - tan(x);Newton Raphson
3231.1551967774;3231.1551967774;3233.5657338091;0.0745473335;0.0001000000;4;(x/1) - tan(x);Newton Raphson
3233.5657338091;3233.5657338091;5563.3781302157;41.8776567380;0.0001000000;5;(x/1) - tan(x);Newton Raphson
5563.3781302157;5563.3781302157;39946.1457531749;86.0728037078;0.0001000000;6;(x/1) - tan(x);Newton Raphson
39946.1457531749;39946.1457531749;78361.0574911701;49.0229623845;0.0001000000;7;(x/1) - tan(x);Newton Raphson
78361.0574911701;78361.0574911701;831972.1600342636;90.5812885027;0.0001000000;8;(x/1) - tan(x);Newton Raphson
831972.1600342636;831972.1600342636;63790247.1486625895;98.6957690286;0.0001000000;9;(x/1) - tan(x);Newton Raphson
63790247.1486625895;63790247.1486625895;93441074.2922443151;31.7321128510;0.0001000000;10;(x/1) - tan(x);Newton Raphson
93441074.2922443151;93441074.2922443151;159765368.6030973196;41.5135613498;0.0001000000;11;(x/1) - tan(x);Newton Raphson
159765368.6030973196;159765368.6030973196;248468221.9854266644;35.6998785090;0.0001000000;12;(x/1) - tan(x);Newton Raphson
4.7000000000;4.4050584697;4.4050584697;6.6955190792;0.0001000000;1;(x/1) - tan(x);Secant
4.4050584697;4.4098464474;4.4098464474;0.1085747026;0.0001000000;2;(x/1) - tan(x);Secant
4.4098464474;4.5293161488;4.5293161488;2.6376984408;0.0001000000;3;(x/1) - tan(x);Secant
4.5293161488;4.4791881146;4.4791881146;1.1191321482;0.0001000000;4;(x/1) - tan(x);Secant
4.4791881146;4.4910098587;4.4910098587;0.2632313097;0.0001000000;5;(x/1) - tan(x);Secant
4.4910098587;4.4935707938;4.4935707938;0.0569910923;0.0001000000;6;(x/1) - tan(x);Secant
4.4935707938;4.4934076316;4.4934076316;0.0036311469;0.0001000000;7;(x/1) - tan(x);Secant
4.4934076316;4.4934094565;4.4934094565;0.0000406141;0.0001000000;8;(x/1) - tan(x);Secant
7.7500000000;7.5773700811;7.5773700811;2.2782300061;0.0001000000;1;(x/1) - tan(x);Secant
7.5773700811;7.6962693625;7.6962693625;1.5448950108;0.0001000000;2;(x/1) - tan(x);Secant
7.6962693625;7.7595360927;7.7595360927;0.8153416567;0.0001000000;3;(x/1) - tan(x);Secant
7.7595360927;7.7174558502;7.7174558502;0.5452605530;0.0001000000;4;(x/1) - tan(x);Secant
7.7174558502;7.7231576027;7.7231576027;0.0738267009;0.0001000000;5;(x/1) - tan(x);Secant
7.7231576027;7.7253801886;7.7253801886;0.0287699223;0.0001000000;6;(x/1) - tan(x);Secant
7.7253801886;7.7252497253;7.7252497253;0.0016887907;0.0001000000;7;(x/1) - tan(x);Secant
7.7252497253;7.7252518348;7.7252518348;0.0000273073;0.0001000000;8;(x/1) - tan(x);Secant
10.9900000000;10.0520836421;10.0520836421;9.3305665896;0.0001000000;1;(x/1) - tan(x);Secant
10.0520836421;10.1013044298;10.1013044298;0.4872715998;0.0001000000;2;(x/1) - tan(x);Secant
10.1013044298;26.0394984400;26.0394984400;61.2077611514;0.0001000000;3;(x/1) - tan(x);Secant
26.0394984400;0.5173884680;0.5173884680;4932.8718267922;0.0001000000;4;(x/1) - tan(x);Secant
0.5173884680;0.5705762533;0.5705762533;9.3217663737;0.0001000000;5;(x/1) - tan(x);Secant
0.5705762533;0.3763048846;0.3763048846;51.6260555134;0.0001000000;6;(x/1) - tan(x);Secant
0.3763048846;0.3064630809;0.3064630809;22.7896304959;0.0001000000;7;(x/1) - tan(x);Secant
